PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	RP	EM	RI	OI	FU	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	D2	EA	PG	WC	SC	GA	UT	PM	OA	HC	HP	DA
C	Donepudi, H; Bhavineni, B; Galloway, M		Latifi, S		Donepudi, Harinivesh; Bhavineni, Bindu; Galloway, Michael			Designing a Web-Based Graphical Interface for Virtual Machine Management	INFORMATION TECHNOLOGY: NEW GENERATIONS	Advances in Intelligent Systems and Computing				13th International Conference on Information Technology - New Generations (ITNG)	APR 11-13, 2016	Las Vegas, NV																						2194-5357		978-3-319-32467-8; 978-3-319-32466-1				2016	448						401	411		10.1007/978-3-319-32467-8_36							WOS:000385289400036						
C	Oliveira, T; Novais, P; Neves, J		Bajo, J; Hernandez, JZ; Mathieu, P; Campbell, A; FernandezCaballero, A; Moreno, MN; Julian, V; AlonsoBetanzos, A; JimenezLopez, MD; Botti, V		Oliveira, Tiago; Novais, Paulo; Neves, Jose			Assessing an Ontology for the Representation of Clinical Protocols in Decision Support Systems	TRENDS IN PRACTICAL APPLICATIONS OF AGENTS, MULTI-AGENT SYSTEMS AND SUSTAINABILITY: THE PAAMS COLLECTION	Advances in Intelligent Systems and Computing				13th International Conference on Practical Applications of Agents, Multi-Agent Systems, and Sustainability (PAAMS)	JUN 03-05, 2015	Salamanca, SPAIN	IBM, IEEE Syst Man & Cybernet Soc Spain, AEPIA, Assoc Francaise Intelligence Artificielle, AAAI, APPIA, ARIA, ATIA, BNVKI, SADIO, Soc Brasileira Computacao, GI, Univ Salamanca, CNRS, Portuguese Assoc Artificial Intelligence, Telefonica, Bioinformat Intelligent Syst & Educ Technol Res Grp, Junta Castilla Leon, Univ Salamanca, indra								Novais, Paulo/M-4053-2013; NEVES, JOSE/M-4203-2013	Novais, Paulo/0000-0002-3549-0754; Oliveira, Tiago/0000-0003-1046-5074; NEVES, JOSE/0000-0002-8863-0351												2194-5357	2194-5365	978-3-319-19629-9; 978-3-319-19628-2				2015	372						47	54		10.1007/978-3-319-19629-9_6							WOS:000380446400006						
C	Bedny, G; Bedny, I; Karwowski, W		Baldwin, C		Bedny, Gregory; Bedny, Inna; Karwowski, Waldemar			Studying Thinking in the Framework of SSAT	ADVANCES IN NEUROERGONOMICS AND COGNITIVE ENGINEERING (AHFE 2017)	Advances in Intelligent Systems and Computing				8th International Conference on Applied Human Factors and Ergonomics (AHFE) / International Conferences on Cognitive and Neuroergonomics and Cognitive Computing and Internet of Things	JUL 17-21, 2017	Los Angeles, CA									Karwowski, Waldemar/B-2449-2012													2194-5357	2194-5365	978-3-319-60642-2; 978-3-319-60641-5				2018	586						362	369		10.1007/978-3-319-60642-2_34							WOS:000465822500034						
C	Yang, AP; Fu, WY; Zhang, X; Wang, MJ; Chen, CK		Rebelo, F; Soares, M		Yang, Ai-ping; Fu, Wen-yu; Zhang, Xin; Wang, Ming-ju; Chen, Chau-kuang			Reachable Domain of Adults' Right Leg in Sitting Posture	ADVANCES IN ERGONOMICS IN DESIGN (AHFE 2017)	Advances in Intelligent Systems and Computing				AHFE International Conference on Ergonomics in Design	JUL 17-21, 2017	Los Angeles, CA																						2194-5357	2194-5365	978-3-319-60582-1; 978-3-319-60581-4				2018	588						897	904		10.1007/978-3-319-60582-1_90							WOS:000448239400090						
C	Rao, AS; Avadhani, PS; Chaudhuri, NB		Behera, HS; Mohapatra, DP		Rao, A. Sesha; Avadhani, P. S.; Chaudhuri, Nandita Bhanja			Detecting Targeted Malicious E-Mail Using Linear Regression Algorithm with Data Mining Techniques	COMPUTATIONAL INTELLIGENCE IN DATA MINING, CIDM 2016	Advances in Intelligent Systems and Computing				3rd International Conference on Computational Intelligence in Data Mining (ICCIDM)	DEC 10-11, 2016	Bhubaneswar, INDIA	Kalinga Inst Ind Technol								Bhanja Chaudhuri, Nandita/AAY-2379-2021	Bhanja Chaudhuri, Nandita/0000-0002-3903-3032												2194-5357	2194-5365	978-981-10-3874-7; 978-981-10-3873-0				2017	556						23	35		10.1007/978-981-10-3874-7_3							WOS:000432203900003						
C	Piec, M; Pozniak-Koszalka, I; Koziol, M		Herrero, A; Snasel, V; Abraham, A; Zelinka, I; Baruque, B; Quintian, H; Calvo, JL; Sedano, J; Corchado, E		Piec, Maciej; Pozniak-Koszalka, Iwona; Koziol, Mariusz			Analysis of Selected Aspects of "IBM I" Security	INTERNATIONAL JOINT CONFERENCE CISIS'12 - ICEUTE'12 - SOCO'12 SPECIAL SESSIONS	Advances in Intelligent Systems and Computing				7th Int Conf on Soft Comp Models in Industrial and Environm Applications	SEP 05-07, 2012	VSB Techn Univ, Fac Elect Engn & Comp Sci, Ostrava, CZECH REPUBLIC	VSB Tech Univ Ostrava	VSB Techn Univ, Fac Elect Engn & Comp Sci																				2194-5357		978-3-642-33017-9				2013	189						207	+									WOS:000312969500021						
C	Bagchi, P; Bhattacharjee, D; Nasipuri, M		Chaki, R; Cortesi, A; Saeed, K; Chaki, N		Bagchi, Parama; Bhattacharjee, Debotosh; Nasipuri, Mita			Registration of Range Images Using a Novel Technique of Centroid Alignment	ADVANCED COMPUTING AND SYSTEMS FOR SECURITY, VOL 2	Advances in Intelligent Systems and Computing				2nd International Doctoral Symposium on Applied Computation and Security Systems (ACSS)	MAY 23-25, 2015	Kolkata, INDIA	Tata Consultancy Serv, Springer India, ACM India, M s Business Brio, M s Enixs								Bhattacharjee, Debotosh/Q-4065-2019	Bhattacharjee, Debotosh/0000-0002-1163-6413												2194-5357		978-81-322-2653-6; 978-81-322-2651-2				2016	396						81	89		10.1007/978-81-322-2653-6_6							WOS:000381881600006						
C	Bartkowski, P; Zalewski, R		Rocha, A; Correia, AM; Adeli, H; Reis, LP; Teixeira, MM		Bartkowski, Piotr; Zalewski, Robert			Designing process of the drone's passive safety system	NEW ADVANCES IN INFORMATION SYSTEMS AND TECHNOLOGIES, VOL 2	Advances in Intelligent Systems and Computing				World Conference on Information Systems and Technologies (WorldCIST)	MAR 22-24, 2016	Recife, BRAZIL										Zalewski, Robert/0000-0003-0643-9148; Bartkowski, Piotr/0000-0002-1460-8389												2194-5357	2194-5365	978-3-319-31307-8; 978-3-319-31306-1				2016	445						729	737		10.1007/978-3-319-31307-8_74							WOS:000417260200074						
C	Rai, H; Kolekar, MH; Keshav, N; Mukherjee, JK		Selvaraj, H; Zydek, D; Chmaj, G		Rai, Himanshu; Kolekar, Maheshkumar H.; Keshav, Neelabh; Mukherjee, J. K.			Trajectory Based Unusual Human Movement Identification for Video Surveillance System	PROGRESS IN SYSTEMS ENGINEERING	Advances in Intelligent Systems and Computing				23rd International Conference on Systems Engineering	AUG 19-21, 2014	Las Vegas, NV	Univ Nevada Las Vegas, ALDEC, NVEnergy								Kolekar, Maheshkumar/ABF-8942-2020	Kolekar, Maheshkumar/0000-0002-4272-3528												2194-5357	2194-5365	978-3-319-08421-3				2015	366						789	794		10.1007/978-3-319-08422-0_114							WOS:000360214900114						
C	Badhan, S; Juneja, M		Jain, LC; Patnaik, S; Ichalkaranje, N		Badhan, Savita; Juneja, Mamta			A Novel Approach for Data Hiding in Color Images Using LSB Based Steganography with Improved Capacity and Resistance to Statistical Attacks	INTELLIGENT COMPUTING, COMMUNICATION AND DEVICES	Advances in Intelligent Systems and Computing				1st International Conference on Intelligent Computing, Communication and Devices (ICCD)	APR 18-19, 2014	SOA Univ, Bhubaneswar, INDIA		SOA Univ								Juneja, Mamta/0000-0002-2611-9005												2194-5357	2194-5365	978-81-322-2008-4				2015	309						183	190		10.1007/978-81-322-2009-1_21							WOS:000380479900021						
