PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	RP	EM	RI	OI	FU	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	D2	EA	PG	WC	SC	GA	UT	PM	OA	HC	HP	DA
C	Shvydun, S		LeThi, HA; Dinh, TP; Nguyen, NT		Shvydun, Sergey			Properties and Complexity of Some Superposition Choice Procedures	MODELLING, COMPUTATION AND OPTIMIZATION IN INFORMATION SYSTEMS AND MANAGEMENT SCIENCES - MCO 2015 - PT II	Advances in Intelligent Systems and Computing				3rd International Conference on Modelling, Computation and Optimization in Information Systems and Management Sciences (MCO)	MAY 11-13, 2015	Univ Lorraine, FRANCE	Univ Lorraine, Lab Theoret & Appl Comp Sci, UFR Mathematique Informatique Mecanique Automatique, Conseil Reg Lorraine, Conseil Gen Moselle, Springer, IEEE France Sect, Mairie Metz, Metz Metropole	Univ Lorraine							Shvydun, Sergey/H-4663-2015	Shvydun, Sergey/0000-0002-6031-8614												2194-5357		978-3-319-18167-7; 978-3-319-18166-0				2015	360						475	486		10.1007/978-3-319-18167-7_41							WOS:000377866400041						
C	Straszecka, E		Atanassov, KT; Kacprzyk, J; Kaluszko, A; Krawczak, M; Owsinski, J; Sotirov, S; Sotirova, E; Szmidt, E; Zadrozny, S		Straszecka, Ewa			On Fuzzy Focal Elements Combining	UNCERTAINTY AND IMPRECISION IN DECISION MAKING AND DECISION SUPPORT: CROSS-FERTILIZATION, NEW MODELS, AND APPLICATIONS	Advances in Intelligent Systems and Computing				14th National Conference of Operational and Systems Research (BOS) / 15th International Workshop on Intuitionistic Fuzzy Sets and Generalized Nets (IWIFSGN)	OCT 12-14, 2016	Warsaw, POLAND									Straszecka, Ewa/T-1951-2017	Straszecka, Ewa/0000-0002-9304-5755												2194-5357	2194-5365	978-3-319-65545-1; 978-3-319-65544-4				2018	559						12	21		10.1007/978-3-319-65545-1_2							WOS:000437033300002						
C	Sauvey, C; Sauer, N; Trabelsi, W		LeThi, HA; Dinh, TP; Nguyen, NT		Sauvey, Christophe; Sauer, Nathalie; Trabelsi, Wajdi			Job-Shop Scheduling with Mixed Blocking Constraints between Operations	MODELLING, COMPUTATION AND OPTIMIZATION IN INFORMATION SYSTEMS AND MANAGEMENT SCIENCES - MCO 2015 - PT II	Advances in Intelligent Systems and Computing				3rd International Conference on Modelling, Computation and Optimization in Information Systems and Management Sciences (MCO)	MAY 11-13, 2015	Univ Lorraine, Metz, FRANCE	Univ Lorraine, Lab Theoret & Appl Comp Sci, UFR Mathematique Informatique Mecanique Automatique, Conseil Reg Lorraine, Conseil Gen Moselle, Springer, IEEE France Sect, Mairie Metz, Metz Metropole	Univ Lorraine																				2194-5357	2194-5365	978-3-319-18167-7; 978-3-319-18166-0				2015	360						331	342		10.1007/978-3-319-18167-7_29							WOS:000377866400029						
S	Szewczyk, R; Salach, J; Ruokolainen, J; Raback, P; Stefko, K; Nowicki, M		Szewczyk, R; Zielinski, C; Kaliczynska, M		Szewczyk, Roman; Salach, Jacek; Ruokolainen, Juha; Raback, Peter; Stefko, Kamil; Nowicki, Michal			Noise Assessment in Whitney Elements Based Forward Transformation for High Resolution Eddy Current Tomography	PROGRESS IN AUTOMATION, ROBOTICS AND MEASURING TECHNIQUES, VOL 3: MEASURING TECHNIQUES AND SYSTEMS	Advances in Intelligent Systems and Computing															Nowicki, Michal/D-4811-2018; Raback, Peter/R-1696-2018	Nowicki, Michal/0000-0003-2513-952X; Szewczyk, Roman/0000-0002-1214-1009; Raback, Peter/0000-0002-3243-6314; Salach, Jacek/0000-0002-6872-2670												2194-5357		978-3-319-15835-8; 978-3-319-15834-1				2015	352						219	224		10.1007/978-3-319-15835-8_24	10.1007/978-3-319-15835-8						WOS:000372957700025						
C	Garg, S		LeThi, HA; Dinh, TP; Nguyen, NT		Garg, Shilpa			Towards Fewer Seeds for Network Discovery	MODELLING, COMPUTATION AND OPTIMIZATION IN INFORMATION SYSTEMS AND MANAGEMENT SCIENCES - MCO 2015 - PT II	Advances in Intelligent Systems and Computing				3rd International Conference on Modelling, Computation and Optimization in Information Systems and Management Sciences (MCO)	MAY 11-13, 2015	Univ Lorraine, FRANCE	Univ Lorraine, Lab Theoret & Appl Comp Sci, UFR Mathematique Informatique Mecanique Automatique, Conseil Reg Lorraine, Conseil Gen Moselle, Springer, IEEE France Sect, Mairie Metz, Metz Metropole	Univ Lorraine								Garg, Shilpa/0000-0003-0200-4200												2194-5357		978-3-319-18167-7; 978-3-319-18166-0				2015	360						81	89		10.1007/978-3-319-18167-7_8							WOS:000377866400008						
S	Zbick, J; Vogel, B; Spikol, D; Jansen, M; Milrad, M		PenaAyala, A		Zbick, Janosch; Vogel, Bahtijar; Spikol, Daniel; Jansen, Marc; Milrad, Marcelo			Toward an Adaptive and Adaptable Architecture to Support Ubiquitous Learning Activities	MOBILE, UBIQUITOUS, AND PERVASIVE LEARNING: FUNDAMENTS, APPLICATIONS, AND TRENDS	Advances in Intelligent Systems and Computing															Spikol, Daniel/G-2189-2014	Spikol, Daniel/0000-0001-9454-0793												2194-5357	2194-5365	978-3-319-26518-6; 978-3-319-26516-2				2016	406						193	222		10.1007/978-3-319-26518-6_8	10.1007/978-3-319-26518-6						WOS:000369154100009						
C	Schaarschmidt, U; Steihaug, T; Subbey, S		LeThi, HA; Dinh, TP; Nguyen, NT		Schaarschmidt, Ute; Steihaug, Trond; Subbey, Sam			Derivative-Free Optimization for Population Dynamic Models	MODELLING, COMPUTATION AND OPTIMIZATION IN INFORMATION SYSTEMS AND MANAGEMENT SCIENCES - MCO 2015, PT 1	Advances in Intelligent Systems and Computing				3rd International Conference on Modelling, Computation and Optimization in Information Systems and Management Sciences (MCO)	MAY 11-13, 2015	Univ Lorraine, FRANCE	Univ Lorraine, Lab Theoret & Appl Comp Sci, UFR Mathematique Informatique Mecanique Automatique, Conseil Reg Lorraine, Conseil Gen Moselle, Springer, IEEE France Sect, Mairie Metz, Metz Metropole	Univ Lorraine																				2194-5357		978-3-319-18161-5; 978-3-319-18160-8				2015	359						391	402		10.1007/978-3-319-18161-5_33							WOS:000377860400033						
C	Bentkowska, U; Drewniak, J; Drygas, P; Krol, A; Rak, E		Atanassov, KT; Kacprzyk, J; Kaluszko, A; Krawczak, M; Owsinski, J; Sotirov, S; Sotirova, E; Szmidt, E; Zadrozny, S		Bentkowska, Urszula; Drewniak, Jozef; Drygas, Pawel; Krol, Anna; Rak, Ewa			Dominance of Binary Operations on Posets	UNCERTAINTY AND IMPRECISION IN DECISION MAKING AND DECISION SUPPORT: CROSS-FERTILIZATION, NEW MODELS, AND APPLICATIONS	Advances in Intelligent Systems and Computing				14th National Conference of Operational and Systems Research (BOS) / 15th International Workshop on Intuitionistic Fuzzy Sets and Generalized Nets (IWIFSGN)	OCT 12-14, 2016	Warsaw, POLAND										Bentkowska, Urszula/0000-0002-5287-1823; Drygas, Pawel/0000-0001-6954-5971; Krol, Anna/0000-0003-4815-7739; Rak, Ewa/0000-0002-8470-1730												2194-5357	2194-5365	978-3-319-65545-1; 978-3-319-65544-4				2018	559						143	152		10.1007/978-3-319-65545-1_14							WOS:000437033300014						
C	Czarnecka, A; Wilimowska, Z		Swiatek, J; Borzemski, L; Wilimowska, Z		Czarnecka, Anna; Wilimowska, Zofia			Hurst Exponent as a Risk Measurement on the Capital Market	INFORMATION SYSTEMS ARCHITECTURE AND TECHNOLOGY, PT II	Advances in Intelligent Systems and Computing				38th International Conference on Information Systems Architecture and Technology (ISAT)	SEP 17-19, 2017	Szklarska Poreba, POLAND	Wroclaw Univ Technol, Fac Comp Sci & Management, Dept Comp Sci, Wroclaw Univ Technol, Fac Comp Sci & Management, Dept Management Syst																					2194-5357	2194-5365	978-3-319-67229-8; 978-3-319-67228-1				2018	656						355	363		10.1007/978-3-319-67229-8_32							WOS:000452439500032						
C	Sassi, O; Cherif-Khettaf, WR; Oulamara, A		LeThi, HA; Dinh, TP; Nguyen, NT		Sassi, Ons; Cherif-Khettaf, Wahiba Ramdane; Oulamara, Ammar			Iterated Tabu Search for the Mix Fleet Vehicle Routing Problem with Heterogenous Electric Vehicles	MODELLING, COMPUTATION AND OPTIMIZATION IN INFORMATION SYSTEMS AND MANAGEMENT SCIENCES - MCO 2015, PT 1	Advances in Intelligent Systems and Computing				3rd International Conference on Modelling, Computation and Optimization in Information Systems and Management Sciences (MCO)	MAY 11-13, 2015	Univ Lorraine, FRANCE	Univ Lorraine, Lab Theoret & Appl Comp Sci, UFR Mathematique Informatique Mecanique Automatique, Conseil Reg Lorraine, Conseil Gen Moselle, Springer, IEEE France Sect, Mairie Metz, Metz Metropole	Univ Lorraine																				2194-5357		978-3-319-18161-5; 978-3-319-18160-8				2015	359						57	68		10.1007/978-3-319-18161-5_6							WOS:000377860400006						
